"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C8,C9";"C_0402_1005Metric";2;"27p";;;
2;"TP11,TP5,TP9,TP7,TP8,TP10,TP6,TP4,TP2,TP1,TP3";"TestPoint_Pad_D2.0mm";11;"TestPoint";;;
3;"U8";"LQFP-32_7x7mm_P0.8mm";1;"STM32F030K6Tx";;;
4;"R33,R14,R27";"R_0402_1005Metric";3;"0R";;;
5;"R6";"R_0402_1005Metric";1;"22k1";;;
6;"C11";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"2n2-47n";;;
7;"C28";"C_0402_1005Metric";1;"10n";;;
8;"R10,R9,R23";"R_0402_1005Metric";3;"1k";;;
9;"R11,R12";"R_0402_1005Metric";2;"5k1";;;
10;"CR1";"CR_0A-M3&slash_89A_VIS";1;"MSMP20A-M3/89A";;;
11;"U4";"SOT-23-6";1;"AT42QT1012-T";;;
12;"C13";"C_0402_1005Metric";1;"56p";;;
13;"C10,C4,C24,C19,C25,C14,C7,C18,C22,C2,C21,C3,C23,C30,C20";"C_0402_1005Metric";15;"100n";;;
14;"R3,R7,R25,R24,R16,R26,R17";"R_0402_1005Metric";7;"100k";;;
15;"Q3,Q4";"DMG7401SFG13";2;"DMN3008SFGQ-7";;;
16;"J3";"Hirose_DF13C_CL535-0403-5-51_1x03-1MP_P1.25mm_Vertical";1;"DF13A-3P-1.25H_51_";;;
17;"U13";"MF05A";1;"LM26CIM5-TPA/NOPB";;;
18;"U12,U5";"MF05A";2;"LM26CIM5-SPA/NOPB";;;
19;"C27";"C_0805_2012Metric";1;"4,7u";;;
20;"FB2,FB1";"R_0603_1608Metric";2;"BLM18EG221SN1D";;;
21;"D5,D6";"LEDC1608X80N";2;"150060AS75000";;;
22;"C6";"C_1206_3216Metric";1;"10u";;;
23;"R18";"R_0402_1005Metric";1;"10k";;;
24;"U11";"MF05A";1;"LM26CIM5-RPA/NOPB";;;
25;"R1";"R_0402_1005Metric";1;"56k";;;
26;"D1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"TESDU5V0 RGG";;;
27;"U3";"SOT-363_SC-70-6";1;"74LVC1G11DW-7";;;
28;"C29,C12,C17";"C_0805_2012Metric";3;"1u";;;
29;"U2";"DQA_R-PUSON-N10_";1;"TPD4E02B04DQA";;;
30;"Q2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AO4447A";;;
31;"C1";"C_0603_1608Metric";1;"1u";;;
32;"C5";"C_1210_3225Metric";1;"47u";;;
33;"Q1";"SOT-23";1;"MMFTN3402";;;
34;"R21,R15,R20,R22";"R_0402_1005Metric";4;"22k";;;
35;"R4";"R_0402_1005Metric";1;"1M";;;
36;"J1";"HRS_CX90B1-24P";1;"CX90B1-24P";;;
37;"L1";"LQH5BPB100MT0L";1;"15uH";;;
38;"JP1,JP2";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";2;"SolderJumper_2_Bridged";;;
39;"R30";"R_1206_3216Metric";1;"10mR";;;
40;"U1";"SOT-23-6";1;"TPS54202DDCR";;;
41;"R2";"R_0402_1005Metric";1;"100R";;;
42;"R5";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"4k7-33k";;;
43;"IC1";"QFN50P400X400X80-25N-D";1;"AP33771DKZ-13";;;
44;"D7";"SODFL3617X108N";1;"NRVS1MFL";;;
